atoll,isl_type,island,2014Male,2014Female,2015Male,2015Female,2016Male,2016Female,2017Male,2017Female,2018Male,2018Female,2019Male,2019Female,2020Male,2020Female,2021Male,2021Female,2022Male,2022Female,2023Male,2023Female,2024Male,2024Female,2025Male,2025Female,2026Male,2026Female,2027Male,2027Female,2028Male,2028Female,2029Male,2029Female,2030Male,2030Female,2031Male,2031Female,2032Male,2032Female,2033Male,2033Female,2034Male,2034Female,2035Male,2035Female,2036Male,2036Female,2037Male,2037Female,2038Male,2038Female,2039Male,2039Female,2040Male,2040Female,2041Male,2041Female,2042Male,2042Female,2043Male,2043Female,2044Male,2044Female,2045Male,2045Female,2046Male,2046Female,2047Male,2047Female,2048Male,2048Female,2049Male,2049Female,2050Male,2050Female,2051Male,2051Female,2052Male,2052Female,2053Male,2053Female,2054Male,2054Female
HA,admin,Thurakunu,178.4734524,214.5265476,180.0832367,215.8325991,181.3892882,216.8349177,182.5130999,217.6549965,183.5154185,218.2928356,184.3354973,218.6876884,185.0644563,218.961048,185.5808022,219.1129144,185.763042,218.9003014,185.7022954,218.6269418,185.5200556,218.0802226,185.034083,217.1993972,184.305124,216.1059587,183.3635521,214.9517737,182.3612335,213.6457222,181.1766752,211.9751913,179.9313703,210.4261535,178.5645722,208.7252492,176.9851611,206.811732,175.4057501,204.8070948,173.6137259,202.6505912,171.7002087,200.4637144,169.8170647,198.1857176,167.7213077,195.6647345,165.6255507,193.0222583,163.3779272,190.1975423,160.9784373,187.2513332,158.3967076,184.1228843,155.7238581,180.8729423,152.990262,177.4103872,150.1351727,173.8567123,146.9459773,170.060051,143.7567818,166.08115,140.2942268,161.7985161,136.8012984,157.4855089,133.0350104,152.8080223,128.904243,147.8875493,124.712729,142.8152098,120.2478553,137.4391375,115.7222351,131.8504521,110.9232553,126.0187804
HA,admin,Uligamu,166.6660484,200.3339516,168.169333,201.5535977,169.3889791,202.4896051,170.4384419,203.2554293,171.3744493,203.8510704,172.1402736,204.2198006,172.8210063,204.4750754,173.3031919,204.6168947,173.4733751,204.4183476,173.4166473,204.1630729,173.2464642,203.6525234,172.7926424,202.8299714,172.1119097,201.8088724,171.23263,200.7310457,170.2966226,199.5113996,169.190432,197.9513873,168.0275137,196.5048304,166.75114,194.9164541,165.2762192,193.1295309,163.8012984,191.257516,162.1278306,189.2436819,160.3409073,187.2014839,158.5823479,185.0741943,156.6252415,182.7199938,154.6681351,180.2523379,152.5692094,177.6144988,150.3284643,174.8632043,147.9175361,171.9417266,145.4215163,168.9067934,142.8687688,165.6733132,140.2025659,162.3547415,137.2243605,158.8092588,134.246155,155.093593,131.0126749,151.0942886,127.7508308,147.0666203,124.233712,142.6985857,120.3762269,138.1036402,116.4620141,133.3668753,112.2925265,128.3464719,108.0663112,123.1275214,103.5848211,117.6816601
HA,admin,Mulhadhoo,99.90880284,120.0911972,100.8099544,120.8223201,101.5410774,121.3834145,102.1701832,121.8424917,102.7312775,122.1995517,103.1903547,122.4205889,103.5984234,122.5736147,103.887472,122.658629,103.9894891,122.5396089,103.9554834,122.3865832,103.8534663,122.0805317,103.5814205,121.5874488,103.1733519,120.9753459,102.6462632,120.3292372,102.0851689,119.5981142,101.4220573,118.662957,100.7249401,117.7958111,99.95981142,116.843651,99.07566273,115.7724708,98.19151403,114.6502821,97.18834531,113.4430791,96.11716516,112.2188732,95.06298787,110.9436587,93.88979056,109.5324214,92.71659325,108.0531726,91.45838164,106.4719066,90.11515573,104.8226293,88.66991267,103.0713347,87.17366102,101.2520288,85.64340366,99.31370276,84.04513486,97.32436819,82.25983461,95.19901074,80.47453435,92.97163614,78.53620836,90.57423294,76.58087951,88.15982688,74.47252492,85.54138651,72.16013602,82.78692326,69.8137414,79.94744571,67.31432104,76.93793956,64.78089497,73.8094134,62.09444316,70.54486436
HA,admin,Hoarafushi,783.8299714,942.1700286,790.899915,947.9060206,796.6359069,952.3080609,801.5715279,955.9097303,805.9735683,958.7110287,809.5752377,960.4451658,812.7767215,961.6457222,815.0444393,962.312698,815.8448103,961.3789319,815.5780199,960.1783755,814.777649,957.7772625,812.6433264,953.9088028,809.4418425,949.106577,805.3065925,944.0375609,800.9045521,938.3015689,795.7021408,930.964835,790.2329392,924.1616817,784.2301569,916.6915527,777.2936085,908.2876575,770.3570601,899.4835768,762.4867455,890.0125203,754.0828503,880.4080686,745.8123503,870.4034315,736.6080841,859.331633,727.4038179,847.726254,717.5325759,835.3205039,706.9943581,822.3811732,695.6557694,808.6414715,683.9169951,794.3681892,671.9114306,779.1611407,659.3722853,763.5539068,645.3657933,746.8795116,631.3593013,729.4047453,616.1522529,710.5960275,600.8118093,691.6539145,584.2708092,671.1110596,566.1290672,649.5010434,547.7205348,627.2240513,528.111446,603.6131077,508.2355669,579.0683979,487.1591313,553.4565268
HA,admin,Ihavandhoo,1117.616199,1343.383801,1127.696808,1351.562408,1135.875415,1357.839014,1142.912822,1362.974418,1149.189427,1366.968622,1154.324832,1369.441224,1158.889636,1371.153026,1162.123039,1372.104027,1163.26424,1370.772625,1162.88384,1369.060824,1161.742639,1365.637221,1158.699436,1360.121416,1154.134632,1353.27421,1148.238426,1346.046603,1141.961821,1337.867996,1134.544014,1327.406987,1126.745807,1317.706778,1118.1868,1307.055568,1108.296391,1295.072958,1098.405982,1282.519747,1087.184172,1269.015534,1075.201561,1255.321122,1063.409151,1241.056109,1050.285339,1225.269495,1037.161527,1208.722081,1023.086715,1191.033465,1008.060901,1172.584048,991.8938867,1152.993431,975.1562717,1132.642013,958.0382564,1110.959193,940.1594405,1088.705773,920.1884226,1064.930752,900.2174047,1040.01453,878.5345854,1013.196306,856.6615658,986.1878816,833.0767447,956.8970554,807.2095216,926.0846279,780.9618981,894.3211995,753.0024731,860.6557694,724.6626478,825.6589381,694.6110209,789.1405054
HA,admin,Kelaa,470.9337661,566.0662339,475.1814669,569.5124816,478.6277147,572.1572765,481.5930907,574.3211995,484.2378855,576.0042507,486.4018085,577.0461396,488.3252956,577.7674473,489.6877657,578.1681737,490.1686375,577.6071567,490.0083469,576.885849,489.5274751,575.4432336,488.2451503,573.11902,486.3216632,570.2337893,483.837159,567.188268,481.1923642,563.7420202,478.0666976,559.3340289,474.7807404,555.2466187,471.174202,550.7584821,467.0066466,545.7093284,462.8390911,540.4197388,458.1105186,534.7294227,453.0613649,528.9589613,448.0923564,522.948064,442.5623309,516.2960043,437.0323054,509.3233635,431.1015534,501.8698508,424.770075,494.095757,417.9577247,485.8407914,410.9049386,477.2652446,403.6918618,468.1286807,396.1582039,458.751681,387.7429477,448.7335188,379.3276915,438.2344849,370.1911276,426.933998,360.9744184,415.5533658,351.0364016,403.21099,340.1366412,390.2274519,329.0765902,376.8431873,317.2952315,362.6574697,305.3535822,347.910735,292.6906252,332.5228379
HA,admin,Vashafaru,192.09738,230.90262,193.8300487,232.30837,195.2357987,233.3872015,196.4453976,234.2698818,197.5242291,234.9564109,198.4069093,235.3814051,199.191514,235.6756318,199.7472757,235.8390911,199.9434268,235.6102481,199.8780431,235.3160213,199.681892,234.7275678,199.1588222,233.7795038,198.3742175,232.6025968,197.3607698,231.3603061,196.2819383,229.954556,195.0069557,228.1565036,193.6665894,226.4892186,192.1954556,224.6584744,190.4954788,222.5988871,188.795502,220.4412242,186.8666821,218.120102,184.8070948,215.766288,182.7801994,213.3143983,180.5244609,210.6009738,178.2687225,207.7567818,175.8495247,204.7164387,173.2668676,201.5453281,170.4880594,198.1780663,167.6111755,194.6800371,164.668908,190.9531649,161.5958729,187.128217,158.1632275,183.0417343,154.730582,178.7591004,151.0037097,174.1495479,147.2441456,169.5073035,143.1903547,164.4727568,138.7442615,159.1766752,134.2327846,153.7171342,129.4270809,147.9306747,124.5559935,141.9153721,119.3906793,135.6385347
HA,admin,Dhidhdhoo,1186.644099,1426.355901,1197.347322,1435.039648,1206.031069,1441.703918,1213.50313,1447.156504,1220.167401,1451.397403,1225.619986,1454.022722,1230.466728,1455.84025,1233.899838,1456.849988,1235.111523,1455.436355,1234.707628,1453.618827,1233.495942,1449.98377,1230.264781,1444.12729,1225.418038,1436.857176,1219.157663,1429.183167,1212.493392,1420.49942,1204.617436,1409.392302,1196.337584,1399.092975,1187.249942,1387.783909,1176.748667,1375.06121,1166.247392,1361.732669,1154.332483,1347.394389,1141.609784,1332.854162,1129.089033,1317.708092,1115.154649,1300.946441,1101.220264,1283.377,1086.276142,1264.595873,1070.322281,1245.006956,1053.156735,1224.206353,1035.385347,1202.59796,1017.210063,1179.575933,998.2269882,1155.948064,977.0224901,1130.704614,955.8179921,1104.249478,932.7959657,1075.774867,909.5719917,1047.098307,884.5304892,1015.998377,857.0656156,983.2828658,829.1968467,949.5576165,799.5105495,913.8128913,769.4203571,876.6545328,737.5126362,837.8805936
HA,admin,Filladhoo,255.2215782,306.7784218,257.5236108,308.6461087,259.3912976,310.0794497,260.998377,311.2521833,262.4317181,312.1643095,263.6044517,312.728959,264.6468815,313.1198702,265.3852693,313.337043,265.6458768,313.033001,265.5590077,312.6420898,265.2984002,311.8602674,264.6034469,310.6006647,263.5610171,309.0370199,262.2145452,307.3865059,260.7812041,305.5188191,259.0872556,303.1299173,257.3064379,300.9147538,255.3518819,298.4824175,253.0932839,295.7460391,250.8346858,292.879357,248.2720458,289.795502,245.5356674,286.6682124,242.8427235,283.4106191,239.8457377,279.8055491,236.8487518,276.0267409,233.6345931,271.9873251,230.2032615,267.7741711,226.5113224,263.3004096,222.6890795,258.6529098,218.7799675,253.701368,214.6971172,248.6195224,210.1364866,243.1902002,205.5758559,237.5002705,200.6243141,231.3759951,195.6293377,225.208285,190.24345,218.5193601,184.3363475,211.4829585,178.3423758,204.229384,171.9574929,196.5414638,165.4857408,188.5495015,158.6230775,180.2100626
HA,admin,Maarandhoo,293.8227065,353.1772935,296.4729114,355.3274596,298.6230775,356.9775871,300.4732205,358.3276915,302.123348,359.3777726,303.4734524,360.0278229,304.6735451,360.4778576,305.5236108,360.727877,305.823634,360.3778499,305.7236262,359.9278151,305.4236031,359.0277456,304.6235412,357.5776335,303.4234485,355.7774944,301.8733287,353.8773476,300.2232012,351.7271814,298.2730505,348.9769689,296.222892,346.4267718,293.9727181,343.6265554,291.3725172,340.4763119,288.7723163,337.1760569,285.8220883,333.6257825,282.6718448,330.0255043,279.5716052,326.2752145,276.1213386,322.1248937,272.671072,317.7745575,268.970786,313.1241982,265.0204807,308.2738233,260.7701523,303.1234253,256.3698122,297.7730118,251.8694644,292.0725713,247.1691012,286.2221192,241.9186954,279.9716361,236.6682897,273.4211299,230.9678491,266.3705851,225.2174047,259.2700363,219.0169256,251.5694412,212.2164,243.4688152,205.3158668,235.1181699,197.9652987,226.2674859,190.5147229,217.0667749,182.6141124,207.4660329
