Atoll,Location,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
K,Male,1975,218.9,84.8,24.9,254.4,361.9,110.3,120.4,283,260.7,198.5,130.3,153.9
K,Male,1976,68.5,37.6,3.4,143,213.1,198.6,231.7,58.9,105.8,457.6,231.1,141.1
K,Male,1977,10.1,49.1,71.7,34.7,344.7,94.4,148,160.7,408.7,464.1,224.2,312.1
K,Male,1978,19.2,1.7,120.9,165.4,509.4,276.9,272.5,253,418.4,266.7,204,162.3
K,Male,1979,15.4,63.9,70.5,147.3,66.9,347.1,196.8,118,382.8,178.9,353.1,361.2
K,Male,1980,65,0,6,157.8,162.2,69.2,197.1,273.2,134.6,178.8,175,381.5
K,Male,1981,98.5,22.3,123.5,39.6,280.6,100.4,62.1,160.5,232.8,125.4,181.1,216.1
K,Male,1982,30.8,0,61.4,64.3,250.3,193.2,173.2,146.1,223.3,210.3,562.9,404.7
K,Male,1983,35.3,2.8,139.3,22.4,328.5,213,123.5,226.5,157.6,64.3,115.6,211.5
K,Male,1984,163,130.9,264.5,166.5,99.5,84.6,276,157.4,115.4,96.8,391.8,26.9
K,Male,1985,220.6,177.5,131,206.4,125.7,180.8,59.1,120.1,132,286.7,174.7,174.1
K,Male,1986,2.6,52.9,117.2,38.4,122.2,64.7,111.6,331.6,326.4,113.5,93.9,420.9
K,Male,1987,344.5,2.6,28.5,280.8,163.6,166.2,12.3,166.3,221.7,245.1,231.4,300.5
K,Male,1988,1,36.1,68.9,123.1,165.7,275.9,100.1,150.9,233.3,90.9,279.1,247.4
K,Male,1989,148.4,20.6,0,94.8,224.3,330.2,17.1,288.8,173,339.8,123.5,153.3
K,Male,1990,0.5,39.6,87.9,74.6,118.2,199.4,99.9,180.2,184.6,223.5,177.9,230.5
K,Male,1991,273.5,0.5,127.5,97.7,266.6,75.7,201,185.6,59.1,140,200,186.9
K,Male,1992,26.1,0.4,6.5,117.2,188.1,179.7,306.6,174.8,151.7,80,308.4,110.5
K,Male,1993,23.6,0.4,36.1,88.7,453,138.1,364,145.8,322.8,196.9,428.9,204.5
K,Male,1994,70.9,1.2,99.7,78.2,306.4,120.8,84.4,167.8,213.3,587.6,353,57.8
K,Male,1995,32.3,65.4,10.8,73.9,240.7,69.9,162.7,171.9,126.4,271.4,107.7,73.9
K,Male,1996,158,47,51,324.2,172.8,258.5,173,154.1,250.4,135.1,161.3,65.1
K,Male,1997,3.1,35.3,30.2,96.2,227.4,76.1,178.4,226.3,299.9,147.2,316.3,419.9
K,Male,1998,249.3,14.1,10.5,65.7,310.5,171.8,235.3,66.2,197.6,214.4,178.4,423
K,Male,1999,178.4,63.3,1.6,113.3,266.7,258.3,166.9,235.8,102,260.4,113.5,289
K,Male,2000,232,10.9,20.2,268.6,80.4,288.8,109.2,111.2,291.9,124.7,119.8,110.2
K,Male,2001,140,31.4,13.4,215,133.8,75.4,199.8,84,277.3,238.4,78.6,240.4
K,Male,2002,36.6,174.7,94,130,190.5,176.2,202.3,255.7,130.4,176.1,163.2,410.8
K,Male,2003,184.1,93.6,55,160.2,124.4,224.2,398.5,143.9,398.6,62.4,562.9,65.6
K,Male,2004,2.7,49.4,4.5,175,112.7,66.5,248.7,159.6,283.4,361.2,300.8,249
K,Male,2005,16.7,0,73,15.7,159.2,160.6,158,130.2,285.6,388.1,159.2,112.9
K,Male,2006,147.6,0,51.5,175.2,87.4,176.9,192.5,326.3,432,169.4,568.9,383.5
K,Male,2007,18.9,0.2,22,199.3,181.9,182.3,178.2,136.3,268.3,330,41.6,233.1
K,Male,2008,69.6,51.3,176.7,136.5,244.7,239.2,157.1,259.9,40.4,247.6,156.3,222.5
K,Male,2009,85.2,12.8,36.8,86.6,175.1,213.3,275.9,416.4,193.3,107.5,409.2,189.4
K,Male,2010,8,92.8,22.4,88.3,276.9,236.1,222.1,177.6,340.9,69.3,128.2,355.3
K,Male,2011,101.1,6,16.7,98.4,184.5,56.8,163.6,126.2,125.3,224.4,168.3,62
K,Male,2012,68,90.8,17.9,110.3,147.6,62.7,77.3,210.8,261.1,297,114.5,206.1
K,Male,2013,72.2,25.9,135.2,92.7,493.2,170.9,220.1,165.4,62,364.4,185.4,94.4
K,Male,2014,42.4,1.9,108.3,97.6,380.4,73.9,107,259.5,176.4,431.3,174.4,280.4
K,Male,2015,0,21.1,79.5,31.6,226.3,160.2,183.9,397.5,328.8,368.3,183.2,193.2
K,Male,2016,141,61,4.3,231.9,255.4,66.6,252.4,310.3,88.9,282.2,290.8,219.9
K,Male,2017,40.2,40.7,111.9,66.8,440,35.8,109.2,130.9,172.8,135.4,237.2,143.5
K,Male,2018,129.3,72.2,9.7,150.4,402.7,133.7,200.8,106,111,345.7,267,192.6
HDh,Hanimaadhoo,1992,0,2.9,0,71,181.5,268.4,497,305.4,71.8,107.3,76.9,130.9
HDh,Hanimaadhoo,1993,19.5,0,14.7,80.6,267.2,343.7,364.6,263.3,132.8,98.2,575.5,80.4
HDh,Hanimaadhoo,1994,8,52.9,51.5,92.8,314.6,176.7,339.1,197.3,67.7,373.4,372.7,52.6
HDh,Hanimaadhoo,1995,72.2,34.9,2.4,169.1,112,241.7,266.3,207.3,124.3,157.6,156.8,38.6
HDh,Hanimaadhoo,1996,55.5,16.7,0,27,119.1,299.9,277,164.2,224.2,196.3,33.5,27.9
HDh,Hanimaadhoo,1997,30.9,1.8,29.3,59.1,117.6,142.3,363.3,298.7,288.1,107.1,243,178.9
HDh,Hanimaadhoo,1998,90.9,19.4,22.5,59.1,541,234.6,197.4,119.2,191.6,160.7,86.8,363.5
HDh,Hanimaadhoo,1999,35.7,40.1,2.4,5.6,321,127.8,364.6,474.2,72.6,231.3,202.9,123.6
HDh,Hanimaadhoo,2000,111.7,53.1,3.4,111.5,145.9,270,151.5,295.7,300.4,181.8,72.4,13.8
HDh,Hanimaadhoo,2001,159.8,26.5,0,165.2,208.2,187.1,152.1,125.2,333.2,124.5,70.1,110.6
HDh,Hanimaadhoo,2002,38.9,33.3,12,30,173.6,167.5,131.6,173.9,85.1,279.4,188.6,32.6
HDh,Hanimaadhoo,2003,14,38.4,19,192,87.9,438.1,243.9,30.7,134.2,176.7,310.5,1.8
HDh,Hanimaadhoo,2004,4.3,75.1,9.8,85.1,335.5,113,408.7,211.3,244.4,483.5,203.8,34.8
HDh,Hanimaadhoo,2005,86.1,11.8,3.3,16.2,155.8,156.6,268.9,119.1,179.7,228.7,66.5,96.2
HDh,Hanimaadhoo,2006,112.6,17.4,48.9,4.1,287.2,257.7,77.4,191.8,303.3,199,190.1,59.6
HDh,Hanimaadhoo,2007,1.9,0,23.9,101.1,247.6,353.2,324.2,123.2,253.6,187.6,61.5,171.9
HDh,Hanimaadhoo,2008,9.4,145.7,169.3,109.3,239.6,161.1,389.1,152.2,28.9,302.9,82.1,142.4
HDh,Hanimaadhoo,2009,2.6,7.6,31.5,55.5,145.4,156.6,218.7,234.8,177.3,83.9,234.4,286.9
HDh,Hanimaadhoo,2010,8,6.9,2.8,107.7,201.7,511.7,378.4,205.3,234.9,163.1,194.1,161.9
HDh,Hanimaadhoo,2011,9.1,9.7,1.3,9,241,93.2,304,317.6,165,134.3,221.2,42.2
HDh,Hanimaadhoo,2012,56.8,33.2,13.5,42.1,57.3,162,111.4,231.5,92.2,500.3,8.9,125.6
HDh,Hanimaadhoo,2013,289.2,270.48,294.7,297.6,137.5,124.4,176.4,217.3,211.7,273.4,234.1,212.4
HDh,Hanimaadhoo,2014,3.3,57.6,67.7,54.3,61.8,106.3,111.5,353.3,151.7,110,138.4,184.7
HDh,Hanimaadhoo,2015,14.9,9.8,57.7,16.3,337.5,81.5,211.7,157.9,210,232.2,131.2,192.2
HDh,Hanimaadhoo,2016,0,48.3,0,15.6,410.3,217.9,222.9,330.4,120.4,89,237,23.8
HDh,Hanimaadhoo,2017,102.7,18,196.2,0,519.4,246.1,152.4,242.4,234.9,126,65.4,57.9
HDh,Hanimaadhoo,2018,8,0,40.4,5.1,202.4,219,194,131.3,109.4,175.7,113.3,70
L,Kadhdhoo,1992,165.2,0,87.8,91.6,261.7,122,213,319.7,266.5,93.5,318.3,344.1
L,Kadhdhoo,1993,237.6,10.6,33.2,218.8,341.4,86.8,146,182.5,311.3,267.9,232.2,359.6
L,Kadhdhoo,1994,151,101.4,106.1,216.8,365.7,119.3,87.6,175.2,280.9,524.9,418.3,339.5
L,Kadhdhoo,1995,189.5,121.9,100.5,261.8,194.6,98.2,148.7,227.5,287.8,436.7,73,183.9
L,Kadhdhoo,1996,167.4,100.2,125.1,68.4,286.2,177.9,221.8,118.8,407.6,218.6,187.4,73.4
L,Kadhdhoo,1997,27.9,43,121.7,148.5,482,93.8,164,236.2,224.9,385,73.5,518.2
L,Kadhdhoo,1998,394.2,10.6,96.5,160,371.7,86.9,278.4,273.9,188,407,122.7,303.7
L,Kadhdhoo,1999,318.4,56.2,172.4,132.7,237.2,125.2,155.8,156,205.4,230,376.3,209.3
L,Kadhdhoo,2000,18.6,35.9,38.7,90.9,165.5,264.8,78.3,127.7,327,199.9,170.2,126
L,Kadhdhoo,2001,170,33.9,64,264.5,125.7,27.8,136.4,196.5,193.1,304.3,251.7,131.3
L,Kadhdhoo,2002,242.2,179,73.7,201.7,106.1,165.5,184.8,230.1,89.2,171,237.4,286.8
L,Kadhdhoo,2003,160,24.4,182.1,311.6,227.1,88.3,125.8,119.9,228.1,194.3,440.9,241.3
L,Kadhdhoo,2004,128.3,0.1,9.6,106.9,203.5,58.9,155.7,196.2,165.7,374.4,476,189.7
L,Kadhdhoo,2005,75.8,95.5,9,89,279.7,162.8,154.9,251.5,341.5,176.8,172.2,107.2
L,Kadhdhoo,2006,228.5,104.7,148.8,180.7,217.7,275.5,191.7,123.9,311.7,468.5,332.7,542.5
L,Kadhdhoo,2007,277.6,0.1,28.4,173.8,149.1,130.3,214.1,179.8,357.2,272.7,60.1,323
L,Kadhdhoo,2008,40.6,18.8,183.1,270.2,178,68.4,250.1,146.9,17.1,224.3,269.8,246
L,Kadhdhoo,2009,58.3,193.1,30.9,149,244.5,187.7,42,295.3,165.4,203.8,336.1,252.5
